city,sensors_id,sensor_name,min_date,max_date,expected_days,missing_days,missing_pct
Birmingham,14383281,pm25 µg/m³,2025-10-15,2025-11-29,46,40,86.95652173913044
Manchester,7267676,pm25 µg/m³,2023-10-23,2024-08-17,300,243,81
Birmingham,14157104,pm25 µg/m³,2025-09-19,2025-12-14,87,66,75.86206896551724
London,1295912,pm25 µg/m³,2019-03-07,2020-09-17,561,411,73.2620320855615
Manchester,7296919,pm25 µg/m³,2023-10-28,2025-12-16,781,514,65.81306017925736
London,446275,pm25 µg/m³,2018-08-20,2019-10-29,436,241,55.27522935779817
London,446268,pm25 µg/m³,2018-08-30,2019-11-01,429,230,53.613053613053616
Birmingham,14269378,pm25 µg/m³,2025-10-02,2025-12-16,76,40,52.63157894736842
Manchester,10367545,pm25 µg/m³,2024-08-24,2025-12-16,480,178,37.083333333333336
Sheffield,9747495,pm25 µg/m³,2024-06-27,2025-12-16,538,198,36.80297397769517
Birmingham,7897367,pm25 µg/m³,2024-02-21,2025-12-16,665,243,36.54135338345865
Sheffield,5079295,pm25 µg/m³,2022-10-04,2025-12-16,1170,420,35.8974358974359
Birmingham,7897357,pm25 µg/m³,2024-02-21,2025-12-16,665,231,34.73684210526316
Birmingham,7897359,pm25 µg/m³,2024-02-21,2025-12-16,665,231,34.73684210526316
Birmingham,7897363,pm25 µg/m³,2024-02-21,2025-12-16,665,231,34.73684210526316
Birmingham,14153213,pm25 µg/m³,2025-09-19,2025-12-15,88,25,28.40909090909091
London,257,pm25 µg/m³,2016-01-31,2025-12-16,3608,877,24.30709534368071
Sheffield,4663062,pm25 µg/m³,2023-04-13,2025-12-16,979,206,21.04187946884576
London,1927060,pm25 µg/m³,2022-05-12,2025-12-16,1315,268,20.380228136882128
Manchester,1999696,pm25 µg/m³,2022-06-10,2025-12-16,1286,262,20.37325038880249
Sheffield,1927061,pm25 µg/m³,2022-05-12,2025-12-16,1315,260,19.771863117870723
London,228,pm25 µg/m³,2016-02-02,2023-07-04,2710,527,19.44649446494465
London,211,pm25 µg/m³,2016-01-31,2017-04-28,454,85,18.722466960352424
Birmingham,14313795,pm25 µg/m³,2025-10-07,2025-12-15,70,13,18.571428571428573
London,235,pm25 µg/m³,2016-01-31,2025-12-16,3608,668,18.514412416851442
London,246,pm25 µg/m³,2016-02-03,2025-12-16,3605,631,17.50346740638003
Manchester,9502772,pm25 µg/m³,2024-06-07,2025-04-11,309,47,15.210355987055015
Manchester,9502776,pm25 µg/m³,2024-06-07,2025-04-11,309,47,15.210355987055015
London,1295903,pm25 µg/m³,2019-03-01,2020-12-01,642,94,14.641744548286605
London,261,pm25 µg/m³,2016-01-31,2025-12-16,3608,515,14.273835920177383
Birmingham,4895,pm25 µg/m³,2016-02-28,2017-06-06,465,62,13.333333333333334
Manchester,5269,pm25 µg/m³,2016-02-28,2025-12-16,3580,470,13.128491620111731
London,28890,pm25 µg/m³,2018-04-16,2025-12-16,2802,367,13.097787294789436
London,232,pm25 µg/m³,2016-01-31,2025-12-16,3608,465,12.888026607538803
Birmingham,7814,pm25 µg/m³,2016-11-10,2025-12-16,3324,417,12.545126353790614
Manchester,4850,pm25 µg/m³,2016-02-28,2025-12-16,3580,446,12.458100558659218
Sheffield,5150,pm25 µg/m³,2016-02-28,2025-12-16,3580,440,12.29050279329609
Birmingham,4825,pm25 µg/m³,2016-02-28,2025-12-16,3580,426,11.899441340782124
Sheffield,5135,pm25 µg/m³,2016-02-28,2025-12-16,3580,404,11.28491620111732
Birmingham,13117097,pm25 µg/m³,2025-05-22,2025-12-16,209,23,11.004784688995215
Sheffield,29695,pm25 µg/m³,2017-11-30,2025-12-16,2939,314,10.683906090506975
London,1304692,pm25 µg/m³,2021-04-30,2025-03-31,1432,151,10.544692737430168
London,1295908,pm25 µg/m³,2018-10-10,2020-05-31,600,63,10.5
London,249,pm25 µg/m³,2016-02-07,2025-12-16,3601,378,10.49708414329353
Manchester,12177952,pm25 µg/m³,2025-02-12,2025-12-16,308,31,10.064935064935066
Birmingham,12626401,pm25 µg/m³,2025-03-30,2025-12-16,262,25,9.541984732824428
Sheffield,11763465,pm25 µg/m³,2024-12-24,2025-12-16,358,34,9.497206703910615
Birmingham,14153313,pm25 µg/m³,2025-09-19,2025-12-16,89,8,8.98876404494382
London,254,pm25 µg/m³,2016-01-31,2025-12-16,3608,317,8.786031042128602
London,12626392,pm25 µg/m³,2025-03-30,2025-12-16,262,23,8.778625954198473
Birmingham,4892,pm25 µg/m³,2016-02-28,2021-10-01,2043,175,8.565834557023985
Manchester,11657641,pm25 µg/m³,2024-12-16,2025-12-16,366,29,7.923497267759563
Manchester,7267678,pm25 µg/m³,2023-10-23,2023-11-27,36,2,5.555555555555555
Birmingham,4900,pm25 µg/m³,2016-02-28,2016-09-07,193,9,4.66321243523316
Manchester,14183636,pm25 µg/m³,2025-09-22,2025-12-16,86,4,4.651162790697675
Birmingham,7337003,pm25 µg/m³,2023-11-02,2025-12-16,776,33,4.252577319587629
London,12915957,pm25 µg/m³,2025-04-29,2025-12-16,232,8,3.4482758620689653
Manchester,6977044,pm25 µg/m³,2023-09-17,2023-10-19,33,1,3.0303030303030303
Birmingham,14153070,pm25 µg/m³,2025-09-19,2025-12-16,89,1,1.1235955056179776
Birmingham,14153328,pm25 µg/m³,2025-09-19,2025-12-16,89,1,1.1235955056179776
Manchester,14152335,pm25 µg/m³,2025-09-19,2025-12-16,89,1,1.1235955056179776
Sheffield,13893646,pm25 µg/m³,2025-08-18,2025-12-16,121,1,0.8264462809917356
London,206,pm25 µg/m³,2016-01-31,2016-02-10,11,0,0
Manchester,6971135,pm25 µg/m³,2023-09-16,2023-09-17,2,0,0
Manchester,6977036,pm25 µg/m³,2023-09-17,2023-09-29,13,0,0
Manchester,14244676,pm25 µg/m³,2025-09-29,2025-10-03,5,0,0
Manchester,14745619,pm25 µg/m³,2025-11-29,2025-12-16,18,0,0
Sheffield,14675917,pm25 µg/m³,2025-11-20,2025-12-16,27,0,0
